答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),IP省份,IP城市,来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,答题时长,状态,Q1_Your gender :,Q2_Your age:,Q3_Your current statue:,Q4_Your target degree:,Q5_Who is your sponsor? (multiple choice)_Parents,Q5_Who is your sponsor? (multiple choice)_Government or Corporation,Q5_Who is your sponsor? (multiple choice)_Personal,Q6_Have you ever studied abroad?,Q7_Marital status:,Q8_Do you plan to find a job in the United States after graduation?,Q9_Which major do you want to study ?,"Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Salary_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Employment rate_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Self-interest_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Composition of students nationality_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Expectation of parents_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_The advice from friends_开放选项",Q11_Which of the following factors is the most important reason when you choose a major?,Q12_How are you today :-)
84,67.21.79.130,,,,,加利福尼亚,,,,,, 2020-11-03 11:54:47, 2020-11-03 11:59:22,Unknown Browser,iPhone iOS 14.1,4分35秒,正常完成,Male,23,Graduated,PHD,Parents,,,Yes,Unmarried,No,Business,10.0,10.0,8.0,10.0,8.0,8.0,Salary,C
85,112.17.236.71,,,,,浙江省,杭州市,,,,, 2020-11-03 11:55:20, 2020-11-03 11:59:33,Chrome 77.0.3865.120,Android Linux 10,4分13秒,正常完成,Female,22,Enrolled,Bachelor,,,Personal,No,Unmarried,No,Business,7.0,8.0,8.0,7.0,5.0,3.0,Self- interest,B
86,110.185.91.200,,,,,四川省,成都市,,,,, 2020-11-03 12:01:08, 2020-11-03 12:02:11,Unknown Browser,iPhone iOS 14.1,1分3秒,正常完成,Male,20,Enrolled,Bachelor,,,Personal,Yes,Unmarried,No,Business,8.0,8.0,8.0,8.0,8.0,8.0,Self- interest,A
87,112.224.19.131,,,,,山东省,济南市,,,,, 2020-11-03 12:00:20, 2020-11-03 12:02:41,Chrome 77.0.3865.120,Android Linux 10,2分21秒,正常完成,Male,19,Enrolled,Bachelor,Parents,,,No,Unmarried,Yes,Others,9.0,6.0,9.0,7.0,6.0,6.0,Self- interest,A
88,124.129.137.10,,,,,山东省,青岛市,,,,, 2020-11-03 12:00:12, 2020-11-03 12:03:03,Unknown Browser,iPhone iOS 14.1,2分51秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Business,8.0,9.0,9.0,6.0,7.0,6.0,Employment rate,A
89,106.121.136.44,,,,,北京市,北京市,,,,, 2020-11-03 12:04:59, 2020-11-03 12:06:06,Chrome 77.0.3865.120,Android Linux 9,1分7秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,No,Unmarried,No,Art,5.0,6.0,10.0,7.0,6.0,8.0,Self- interest,D
90,117.136.94.126,,,,,山东省,济南市,,,,, 2020-11-03 12:03:18, 2020-11-03 12:06:14,Chrome 78.0.3904.62,Android Linux 10,2分56秒,正常完成,Female,18,Enrolled,Master,,,Personal,No,Unmarried,No,Education,8.0,9.0,9.0,8.0,8.0,6.0,Self- interest,C
91,117.136.46.152,,,,,江苏省,南通市,,,,, 2020-11-03 12:03:04, 2020-11-03 12:06:33,Chrome 78.0.3904.62,Android Linux 10,3分29秒,正常完成,Male,19,Enrolled,Master,Parents,,,No,Unmarried,No,Computer Science,7.0,6.0,10.0,8.0,2.0,5.0,Salary,B
92,120.245.102.229,,,,,北京市,北京市,,,,, 2020-11-03 11:59:16, 2020-11-03 12:07:11,Unknown Browser,MacOS Macintosh X 10.14.6,7分55秒,正常完成,Female,19,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Public Affairs,10.0,10.0,10.0,10.0,10.0,10.0,Salary,C
93,58.45.71.10,,,,,湖南省,株洲市,,,,, 2020-11-03 12:05:55, 2020-11-03 12:07:48,Unknown Browser,iPhone iOS 13.6,1分53秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Others,2.0,2.0,9.0,6.0,0.0,0.0,Self- interest,B
94,117.10.205.38,,,,,天津市,天津市,,,,, 2020-11-03 12:07:25, 2020-11-03 12:08:44,Unknown Browser,iPhone iOS 14.0,1分19秒,正常完成,Male,20,Enrolled,Master,Parents,,,No,Unmarried,Yes,Others,5.0,5.0,7.0,6.0,0.0,0.0,Self- interest,D
95,69.140.156.181,,,,,马里兰,,,,,, 2020-11-03 12:07:43, 2020-11-03 12:09:43,Unknown Browser,iPhone iOS 12.4.1,2分0秒,正常完成,Female,21,Enrolled,Master,Parents,,,Yes,Unmarried,Yes,Business,7.0,4.0,5.0,5.0,3.0,3.0,Self- interest,B
96,39.149.146.223,,,,,河南省,许昌市,,,,, 2020-11-03 12:09:16, 2020-11-03 12:10:13,Unknown Browser,iPhone iOS 13.6.1,0分57秒,正常完成,Female,19,Enrolled,PHD,Parents,,,Yes,Unmarried,Yes,Law,10.0,8.0,8.0,8.0,9.0,8.0,Self- interest,C
97,117.136.93.172,,,,,山东省,济南市,,,,, 2020-11-03 12:08:58, 2020-11-03 12:11:20,Unknown Browser,iPhone iOS 14.1,2分22秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Education,7.0,5.0,9.0,8.0,3.0,3.0,Self- interest,D
98,73.128.88.149,,,,,马里兰,,,,,, 2020-11-03 12:09:52, 2020-11-03 12:12:12,Unknown Browser,iPhone iOS 14.0.1,2分20秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Others,1.0,1.0,10.0,1.0,1.0,3.0,Self- interest,D
99,175.153.162.246,,,,,四川省,成都市,,,,, 2020-11-03 12:10:35, 2020-11-03 12:12:13,Unknown Browser,iPhone iOS 14.0,1分38秒,正常完成,Female,20,Enrolled,Master,Parents,,,Yes,Unmarried,No,Business,9.0,7.0,9.0,8.0,8.0,9.0,Self- interest,D
100,216.164.60.235,,,,,马里兰,,,,,, 2020-11-03 12:11:04, 2020-11-03 12:12:15,Unknown Browser,iPhone iOS 14.1,1分11秒,正常完成,Female,21,Enrolled,Bachelor,,,Personal,Yes,Unmarried,Yes,Business,0.0,0.0,10.0,0.0,0.0,0.0,Self- interest,B
101,24.126.7.20,,,,,西弗吉尼亚,,,,,, 2020-11-03 12:13:19, 2020-11-03 12:14:44,Unknown Browser,iPhone iOS 11.4,1分25秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Business,8.0,9.0,5.0,7.0,5.0,4.0,Salary,D
102,36.101.181.52,,,,,海南省,三亚市,,,,, 2020-11-03 12:12:20, 2020-11-03 12:14:50,Unknown Browser,iPhone iOS 13.7,2分30秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Public Affairs,7.0,5.0,7.0,5.0,5.0,3.0,Self- interest,C
103,24.114.109.47,,,,,魁北克,蒙特利尔,,,,, 2020-11-03 12:12:42, 2020-11-03 12:14:50,Unknown Browser,iPhone iOS 14.0.1,2分8秒,正常完成,Female,20,Enrolled,Bachelor,,,Personal,Yes,Unmarried,Yes,Business,0.0,0.0,0.0,0.0,0.0,0.0,Salary,B
104,117.136.0.141,,,,,北京市,北京市,,,,, 2020-11-03 12:14:35, 2020-11-03 12:15:51,Chrome 77.0.3865.120,Android Linux 10,1分16秒,正常完成,Female,27,Graduated,PHD,Parents,,,No,Unmarried,No,Others,7.0,7.0,8.0,6.0,7.0,8.0,Salary,A
105,223.153.199.84,,,,,湖南省,张家界市,,,,, 2020-11-03 12:14:00, 2020-11-03 12:16:43,Unknown Browser,iPhone iOS 14.1,2分43秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Business,10.0,3.0,10.0,5.0,10.0,3.0,Self- interest,D
106,65.78.11.248,,,,,纽约,纽约,,,,, 2020-11-03 12:16:27, 2020-11-03 12:17:41,Unknown Browser,iPhone iOS 13.7,1分14秒,正常完成,Male,21,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Public Affairs,3.0,0.0,10.0,0.0,7.0,9.0,Self- interest,C
107,69.140.156.181,,,,,马里兰,,,,,, 2020-11-03 12:17:17, 2020-11-03 12:18:59,Unknown Browser,iPhone iOS 14.1,1分42秒,正常完成,Male,21,Enrolled,Master,Parents,,,No,Unmarried,Yes,Art,8.0,10.0,10.0,5.0,5.0,3.0,Self- interest,D
108,69.140.153.219,,,,,马里兰,,,,,, 2020-11-03 12:15:27, 2020-11-03 12:19:39,Chrome 77.0.3865.120,Android Linux 9,4分12秒,正常完成,Male,20,Enrolled,Bachelor,,,Personal,Yes,Unmarried,No,Others,9.0,5.0,10.0,8.0,3.0,0.0,Self- interest,A
109,116.235.136.254,,,,,上海市,上海市,,,,, 2020-11-03 12:18:50, 2020-11-03 12:20:27,Unknown Browser,iPhone iOS 14.0.1,1分37秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Computer Science,7.0,8.0,9.0,5.0,6.0,7.0,Employment rate,B
110,183.240.8.10,,,,,广东省,广州市,,,,, 2020-11-03 12:19:50, 2020-11-03 12:21:10,Unknown Browser,iPhone iOS 14.0.1,1分20秒,正常完成,Male,21,Enrolled,Bachelor,Parents,,,No,Unmarried,No,Business,9.0,9.0,4.0,1.0,7.0,2.0,Salary,C
111,117.136.24.229,,,,,湖南省,长沙市,,,,, 2020-11-03 12:19:50, 2020-11-03 12:22:36,Unknown Browser,iPhone iOS 14.0.1,2分46秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,No,Unmarried,No,Public Affairs,7.0,6.0,5.0,5.0,5.0,4.0,Salary,C
112,223.157.25.72,,,,,湖南省,娄底市,,,,, 2020-11-03 12:21:49, 2020-11-03 12:23:05,Unknown Browser,iPhone iOS 14.1,1分16秒,正常完成,Female,23,Enrolled,Master,Parents,,,Yes,Unmarried,No,Business,8.0,10.0,10.0,5.0,7.0,8.0,Employment rate,C
113,222.186.180.77,,,,,江苏省,镇江市,,,,, 2020-11-03 12:22:36, 2020-11-03 12:23:47,Unknown Browser,iPhone iOS 14.0.1,1分11秒,正常完成,Male,20,Enrolled,Master,Parents,,,No,Unmarried,Yes,Engineering,8.0,7.0,8.0,1.0,4.0,1.0,Self- interest,C
114,60.125.29.84,,,,,,,,,,, 2020-11-03 12:18:57, 2020-11-03 12:23:58,Unknown Browser,iPhone iOS 13.7,5分1秒,正常完成,Female,22,Not enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Business,5.0,3.0,4.0,3.0,3.0,5.0,Self- interest,B
115,223.78.220.125,,,,,山东省,潍坊市,,,,, 2020-11-03 12:18:00, 2020-11-03 12:25:00,Chrome 53.0.2875.116,Windows Wechat,7分0秒,正常完成,Male,20,Enrolled,Master,Parents,,,Yes,Unmarried,No,Others,7.0,10.0,5.0,0.0,10.0,0.0,Expectation of parents,C
116,75.185.48.153,,,,,俄亥俄,,,,,, 2020-11-03 12:26:00, 2020-11-03 12:27:27,Unknown Browser,iPhone iOS 13.6,1分27秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Engineering,6.0,7.0,7.0,5.0,4.0,6.0,Self- interest,A
117,122.194.1.203,,,,,江苏省,南京市,,,,, 2020-11-03 12:26:48, 2020-11-03 12:29:13,Unknown Browser,iPhone iOS 14.1,2分25秒,正常完成,Male,19,Not enrolled,Master,Parents,,,Yes,Unmarried,No,Engineering,10.0,10.0,5.0,5.0,10.0,5.0,Expectation of parents,C
118,223.73.72.129,,,,,广东省,珠海市,,,,, 2020-11-03 12:31:55, 2020-11-03 12:33:05,Chrome 77.0.3865.120,Android Linux 10,1分10秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Engineering,10.0,10.0,10.0,10.0,10.0,10.0,Salary,C
119,148.75.197.232,,,,,纽约,纽约,,,,, 2020-11-03 12:29:36, 2020-11-03 12:37:53,Unknown Browser,iPhone iOS 14.2,8分17秒,正常完成,Male,20,Enrolled,Master,Parents,,,Yes,Unmarried,Yes,Engineering,7.0,8.0,8.0,3.0,7.0,3.0,Self- interest,D
120,114.37.162.235,,,,,台湾省,,,,,, 2020-11-03 12:37:33, 2020-11-03 12:38:48,Unknown Browser,iPhone iOS 13.5.1,1分15秒,正常完成,Male,22,Enrolled,PHD,Parents,,,No,Unmarried,No,Humanities,3.0,5.0,10.0,3.0,3.0,6.0,Self- interest,C
121,27.125.242.143,,,,,,,,,,, 2020-11-03 12:38:47, 2020-11-03 12:40:50,Unknown Browser,iPhone iOS 13.1.1,2分3秒,正常完成,Female,23,Graduated,Bachelor,Parents,,,Yes,Unmarried,No,Business,8.0,9.0,7.0,5.0,2.0,0.0,Self- interest,A
122,117.136.98.155,,,,,广西壮族自治区,柳州市,,,,, 2020-11-03 12:40:21, 2020-11-03 12:41:05,Chrome 77.0.3865.120,Android Linux 10,0分44秒,正常完成,Female,23,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Others,5.0,5.0,8.0,4.0,3.0,3.0,Self- interest,C
123,192.5.110.4,,,,,俄亥俄,,,,,, 2020-11-03 12:39:33, 2020-11-03 12:41:41,Unknown Browser,iPhone iOS 14.0.1,2分8秒,正常完成,Female,21,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Medical Health,10.0,10.0,10.0,0.0,5.0,0.0,Employment rate,B
124,123.96.30.26,,,,,浙江省,舟山市,,,,, 2020-11-03 12:41:26, 2020-11-03 12:42:42,Chrome 77.0.3865.120,Android Linux 10,1分16秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,No,Unmarried,No,Business,10.0,10.0,10.0,6.0,5.0,3.0,Self- interest,D
125,180.152.29.166,,,,,上海市,上海市,,,,, 2020-11-03 12:42:10, 2020-11-03 12:43:42,Unknown Browser,iPhone iOS 14.1,1分32秒,正常完成,Male,20,Not enrolled,Master,Parents,,,No,Unmarried,No,Art,5.0,6.0,10.0,0.0,5.0,5.0,Self- interest,C
126,117.136.70.41,,,,,四川省,成都市,,,,, 2020-11-03 12:42:38, 2020-11-03 12:44:21,Unknown Browser,iPhone iOS 14.0,1分43秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Others,5.0,5.0,10.0,8.0,7.0,7.0,Self- interest,C
127,74.71.224.150,,,,,纽约,纽约,,,,, 2020-11-03 12:45:58, 2020-11-03 12:47:17,Unknown Browser,iPhone iOS 14.1,1分19秒,正常完成,Male,24,Enrolled,Master,Parents,,,Yes,Unmarried,Yes,Engineering,10.0,10.0,6.0,5.0,5.0,7.0,Salary,B
128,110.184.220.53,,,,,四川省,成都市,,,,, 2020-11-03 12:44:07, 2020-11-03 12:48:16,Unknown Browser,iPhone iOS 14.1,4分9秒,正常完成,Male,21,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Business,7.0,7.0,9.0,5.0,5.0,5.0,Salary,C
129,223.104.193.101,,,,,山西省,,,,,, 2020-11-03 12:47:01, 2020-11-03 12:49:04,Chrome 77.0.3865.120,Android Linux 9,2分3秒,正常完成,Female,21,Enrolled,Master,Parents,,,No,Unmarried,No,Law,9.0,7.0,8.0,6.0,6.0,5.0,Salary,C
130,69.140.154.129,,,,,马里兰,,,,,, 2020-11-03 12:50:26, 2020-11-03 12:52:58,Unknown Browser,iPhone iOS 14.1,2分32秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Business,8.0,7.0,8.0,9.0,8.0,8.0,The advice from friends,C
131,66.44.36.246,,,,,华盛顿,,,,,, 2020-11-03 12:55:51, 2020-11-03 12:57:09,Unknown Browser,iPhone iOS 14.1,1分18秒,正常完成,Female,24,Enrolled,Master,,,Personal,Yes,Divorced,Yes,Art,7.0,5.0,9.0,3.0,6.0,3.0,Salary,A
132,24.179.34.47,,,,,亚拉巴马,,,,,, 2020-11-03 12:59:52, 2020-11-03 13:01:53,Chrome 77.0.3865.120,Android Linux 9,2分1秒,正常完成,Male,26,Graduated,PHD,,,Personal,Yes,Unmarried,Yes,Computer Science,8.0,8.0,10.0,7.0,6.0,6.0,Self- interest,C
133,24.181.231.237,,,,,马萨诸塞,,,,,, 2020-11-03 13:00:23, 2020-11-03 13:04:11,Chrome 78.0.3904.62,Android Linux 10,3分48秒,正常完成,Male,25,Enrolled,Master,Parents,,,No,Married,No,Business,10.0,10.0,6.0,0.0,5.0,4.0,Salary,C
134,182.149.122.83,,,,,四川省,成都市,,,,, 2020-11-03 13:05:08, 2020-11-03 13:06:45,Unknown Browser,iPhone iOS 13.3,1分37秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Public Affairs,7.0,8.0,8.0,3.0,4.0,0.0,Employment rate,D
135,76.114.215.189,,,,,马里兰,,,,,, 2020-11-03 13:12:01, 2020-11-03 13:13:36,Safari 13.1.2,iPhone iOS 13.7,1分35秒,正常完成,Female,21,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Business,8.0,8.0,9.0,8.0,5.0,7.0,Self- interest,A
136,222.209.25.40,,,,,四川省,成都市,,,,, 2020-11-03 13:14:53, 2020-11-03 13:16:20,Unknown Browser,iPhone iOS 14.1,1分27秒,正常完成,Male,23,Enrolled,Master,Parents,,Personal,Yes,Unmarried,Yes,Business,7.0,9.0,9.0,9.0,8.0,9.0,Self- interest,C
137,97.80.239.174,,,,,亚拉巴马,,,,,, 2020-11-03 13:22:48, 2020-11-03 13:23:40,Unknown Browser,iPhone iOS 14.0.1,0分52秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Business,10.0,10.0,10.0,10.0,10.0,10.0,Salary,B
138,101.88.76.56,,,,,上海市,上海市,,,,, 2020-11-03 13:52:23, 2020-11-03 13:54:06,Chrome 78.0.3904.62,Android Linux 10,1分43秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Others,5.0,5.0,10.0,7.0,4.0,0.0,Self- interest,B
139,175.167.130.121,,,,,辽宁省,沈阳市,,,,, 2020-11-03 13:54:44, 2020-11-03 13:56:09,Unknown Browser,iPhone iOS 14.1,1分25秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Business,3.0,2.0,5.0,2.0,3.0,1.0,Self- interest,D
140,119.103.118.127,,,,,湖北省,武汉市,,,,, 2020-11-03 14:02:40, 2020-11-03 14:03:51,Unknown Browser,iPhone iOS 14.0.1,1分11秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Others,10.0,10.0,10.0,10.0,10.0,10.0,Self- interest,A
141,120.21.16.4,,,,,维多利亚,墨尔本,,,,, 2020-11-03 14:05:01, 2020-11-03 14:07:19,Unknown Browser,iPhone iOS 13.3.1,2分18秒,正常完成,Female,20,Enrolled,Master,Parents,Government or Corporation,Personal,Yes,Unmarried,No,Medical Health,8.0,8.0,8.0,1.0,5.0,2.0,Self- interest,A
142,175.153.162.246,,,,,四川省,成都市,,,,, 2020-11-03 14:10:21, 2020-11-03 14:12:30,Unknown Browser,iPhone iOS 14.0.1,2分9秒,正常完成,Female,21,Enrolled,Bachelor,Parents,,Personal,No,Unmarried,No,Business,8.0,8.0,7.0,8.0,9.0,6.0,Salary,C
143,60.186.223.5,,,,,浙江省,杭州市,,,,, 2020-11-03 14:12:04, 2020-11-03 14:13:39,Chrome 77.0.3865.120,Android Linux 10,1分35秒,正常完成,Male,19,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Business,9.0,9.0,7.0,7.0,9.0,8.0,Salary,B
144,180.111.41.238,,,,,江苏省,南京市,,,,, 2020-11-03 14:33:57, 2020-11-03 14:35:34,Unknown Browser,iPhone iOS 14.0.1,1分37秒,正常完成,Male,21,Graduated,Bachelor,Parents,,,No,Unmarried,No,Business,10.0,8.0,10.0,3.0,9.0,4.0,Salary,D
145,118.116.111.67,,,,,四川省,成都市,,,,, 2020-11-03 14:40:34, 2020-11-03 14:42:53,Unknown Browser,iPhone iOS 13.3,2分19秒,正常完成,Female,20,Enrolled,Master,Parents,,,Yes,Unmarried,Yes,Business,8.0,6.0,8.0,7.0,7.0,7.0,The advice from friends,B
146,123.166.192.114,,,,,黑龙江省,哈尔滨市,,,,, 2020-11-03 14:38:05, 2020-11-03 14:48:47,Unknown Browser,iPhone iOS 14.0.1,10分42秒,正常完成,Female,20,Enrolled,Master,,,Personal,Yes,Unmarried,No,Others,6.0,10.0,10.0,5.0,8.0,7.0,Self- interest,A
147,160.13.106.92,,,,,,,,,,, 2020-11-03 14:59:53, 2020-11-03 15:01:26,Unknown Browser,iPhone iOS 14.1,1分33秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Others,7.0,7.0,9.0,5.0,5.0,6.0,Self- interest,C
148,101.86.55.101,,,,,上海市,上海市,,,,, 2020-11-03 15:10:06, 2020-11-03 15:11:29,Unknown Browser,iPhone iOS 14.0.1,1分23秒,正常完成,Male,19,Enrolled,Master,Parents,,,No,Unmarried,Yes,Business,8.0,8.0,7.0,5.0,7.0,3.0,Salary,A
149,114.242.248.77,,,,,北京市,北京市,,,,, 2020-11-03 15:41:59, 2020-11-03 15:43:36,Unknown Browser,iPhone iOS 14.0.1,1分37秒,正常完成,Female,20,Enrolled,Master,Parents,,,Yes,Unmarried,Yes,Others,7.0,7.0,8.0,7.0,5.0,5.0,Salary,C
150,42.233.93.88,,,,,河南省,信阳市,,,,, 2020-11-03 16:57:10, 2020-11-03 16:58:23,Unknown Browser,iPhone iOS 14.0,1分13秒,正常完成,Female,20,Not enrolled,Master,Parents,,,Yes,Unmarried,Yes,Business,8.0,8.0,10.0,0.0,0.0,0.0,Self- interest,B
151,119.4.253.128,,,,,四川省,成都市,,,,, 2020-11-03 17:07:46, 2020-11-03 17:09:30,Unknown Browser,iPhone iOS 14.0.1,1分44秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,No,Unmarried,No,Business,5.0,5.0,6.0,5.0,6.0,6.0,Self- interest,B
152,112.17.247.48,,,,,浙江省,杭州市,,,,, 2020-11-03 17:45:05, 2020-11-03 17:47:00,Unknown Browser,iPhone iOS 14.0.1,1分55秒,正常完成,Male,20,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Business,10.0,9.0,8.0,10.0,10.0,7.0,Employment rate,D
153,202.200.225.30,,,,,陕西省,西安市,,,,, 2020-11-03 17:50:14, 2020-11-03 17:51:57,Unknown Browser,iPhone iOS 13.6,1分43秒,正常完成,Male,19,Enrolled,Master,Parents,,,Yes,Divorced,No,Engineering,9.0,2.0,6.0,1.0,4.0,4.0,Salary,C
154,119.44.61.182,,,,,湖南省,长沙市,,,,, 2020-11-03 18:09:42, 2020-11-03 18:11:43,Unknown Browser,IPad iOS 13.7,2分1秒,正常完成,Female,11,Enrolled,Bachelor,Parents,,,No,Unmarried,No,Art,4.0,10.0,10.0,0.0,10.0,10.0,Employment rate,A
155,111.192.103.231,,,,,北京市,北京市,,,,, 2020-11-03 18:42:04, 2020-11-03 18:44:20,Unknown Browser,iPhone iOS 13.6,2分16秒,正常完成,Male,23,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Others,8.0,3.0,9.0,7.0,3.0,3.0,Self- interest,C
156,36.62.19.238,,,,,安徽省,阜阳市,,,,, 2020-11-03 20:42:24, 2020-11-03 20:44:08,Unknown Browser,MacOS Macintosh X 10.15.7,1分44秒,正常完成,Female,21,Enrolled,Master,Parents,,,Yes,Unmarried,Yes,Others,9.0,10.0,4.0,5.0,5.0,6.0,Employment rate,C
157,111.18.135.232,,,,,陕西省,西安市,,,,, 2020-11-03 20:46:39, 2020-11-03 20:49:10,Unknown Browser,iPhone iOS 13.7,2分31秒,正常完成,Female,22,Enrolled,Bachelor,Parents,,,Yes,Unmarried,Yes,Computer Science,8.0,8.0,10.0,8.0,6.0,6.0,Self- interest,B
158,98.231.178.136,,,,,弗吉尼亚,,,,,, 2020-11-03 20:47:01, 2020-11-03 20:52:50,Unknown Browser,iPhone iOS 14.0.1,5分49秒,正常完成,Female,24,Enrolled,Master,Parents,,,No,Unmarried,Yes,Education,8.0,9.0,8.0,8.0,9.0,8.0,Employment rate,A
159,183.197.55.108,,,,,河北省,沧州市,,,,, 2020-11-03 20:54:19, 2020-11-03 20:55:29,Unknown Browser,iPhone iOS 13.6,1分10秒,正常完成,Female,24,Enrolled,Master,Parents,,,Yes,Unmarried,No,Humanities,7.0,7.0,10.0,9.0,10.0,8.0,Self- interest,C
160,112.23.72.13,,,,,江苏省,无锡市,,,,, 2020-11-03 21:18:42, 2020-11-03 21:20:01,Unknown Browser,iPhone iOS 14.1,1分19秒,正常完成,Female,20,Graduated,Bachelor,Parents,,,Yes,Unmarried,No,Others,5.0,5.0,5.0,5.0,5.0,5.0,Salary,C
161,106.114.22.202,,,,,河北省,石家庄市,,,,, 2020-11-03 22:16:01, 2020-11-03 22:17:13,Unknown Browser,iPhone iOS 14.1,1分12秒,正常完成,Female,23,Enrolled,Master,Parents,,,Yes,Unmarried,Yes,Business,9.0,9.0,5.0,1.0,9.0,5.0,Salary,A
162,69.140.169.116,,,,,马里兰,,,,,, 2020-11-04 00:18:06, 2020-11-04 00:20:06,Unknown Browser,iPhone iOS 14.1,2分0秒,正常完成,Male,25,Enrolled,Master,Parents,,,No,Unmarried,No,Business,7.0,8.0,7.0,6.0,6.0,4.0,Salary,D
163,118.114.190.55,,,,,四川省,成都市,,,,, 2020-11-04 01:15:02, 2020-11-04 01:16:09,Unknown Browser,iPhone iOS 13.6,1分7秒,正常完成,Male,21,Enrolled,Master,Parents,,Personal,Yes,Unmarried,No,Business,10.0,9.0,8.0,8.0,9.0,6.0,Salary,B
164,173.66.199.107,,,,,弗吉尼亚,,,,,, 2020-11-04 01:18:19, 2020-11-04 01:19:53,Unknown Browser,iPhone iOS 14.0.1,1分34秒,正常完成,Female,24,Enrolled,Master,Parents,,,No,Unmarried,No,Business,5.0,9.0,9.0,1.0,5.0,1.0,Salary,B
165,173.66.199.107,,,,,弗吉尼亚,,,,,, 2020-11-04 08:43:55, 2020-11-04 08:46:11,Unknown Browser,iPhone iOS 14.1,2分16秒,正常完成,Female,23,Graduated,Master,Parents,,,Yes,Unmarried,Yes,Business,10.0,8.0,8.0,3.0,4.0,3.0,Salary,C
166,27.202.74.78,,,,,山东省,东营市,,,,, 2020-11-04 12:14:48, 2020-11-04 12:16:25,Unknown Browser,iPhone iOS 14.1,1分37秒,正常完成,Male,24,Not enrolled,Master,Parents,,,Yes,Unmarried,No,Others,8.0,8.0,10.0,2.0,3.0,0.0,Self- interest,A
167,117.136.0.159,,,,,北京市,北京市,,,,, 2020-11-04 12:20:22, 2020-11-04 12:21:28,Chrome 78.0.3904.62,Android Linux 10,1分6秒,正常完成,Male,24,Graduated,Master,Parents,,,No,Unmarried,No,Engineering,10.0,10.0,10.0,10.0,10.0,10.0,Employment rate,A
168,173.23.13.80,,,,,艾奥瓦,,,,,, 2020-11-04 12:21:31, 2020-11-04 12:22:36,Unknown Browser,iPhone iOS 14.1,1分5秒,正常完成,Female,16,Enrolled,Master,Parents,,Personal,No,Unmarried,No,Business,8.0,8.0,10.0,8.0,0.0,0.0,Self- interest,A
